pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,7/7/2016,90.9,1.498,6.2124,Trevor Story,596115,605388,home_run,hit_into_play_score,,,,,5,Trevor Story homers (21) on a line drive to center field.,R,R,L,COL,PHI,X,null,line_drive,1,0,2016,0.634025,1.237733333,-0.193,2.239,null,null,null,2,5,Bot,92.89,16.62,,,null,,160707_195948,-6.359,-132.194,-6.04,9.877,23.939,-19.074,3.54,1.6,447,110.6,20.46,89.657,2367,5.093,448152,null,null,null,null,null,null,null,null,null,55.407,0.935,1.624,2,1,0,3,6,42,2
FF,7/4/2017,91.6,-3.7567,5.3872,Scott Schebler,594988,493603,home_run,hit_into_play_score,,,,,5,Scott Schebler homers (21) on a fly ball to center field.  ,R,L,R,COL,CIN,X,null,fly_ball,2,0,2017,-0.5805,0.6317,-0.1674,2.4693,null,null,null,1,8,Top,178.99,20.13,,,547172,,170705_023559,10.4102,-133.1388,-3.0103,-8.8765,22.4854,-24.0702,3.2234,1.3656,439,110.5,21.298,93.116,1988,6.774,491352,493603,547172,448602,506560,571448,596115,606132,453568,471865,53.726,0.947,1.694,2,1,0,3,6,60,3
SL,9/16/2017,90.6,-1.8628,5.9419,Carlos Gonzalez,471865,543475,home_run,hit_into_play_score,,,,,6,Carlos Gonzalez homers (13) on a fly ball to right field.    DJ LeMahieu scores.  ,R,L,R,COL,SD,X,null,fly_ball,1,0,2017,-0.4343,1.2555,0.735,2.7688,null,null,518934,0,5,Bot,246.87,62.23,,,595978,,170917_013834,7.4891,-131.6817,-4.8049,-6.5787,24.5958,-16.4699,3.3777,1.4595,427,110.3,37.003,91.805,2178,6.804,492321,543475,595978,571976,641319,605486,430947,519333,622534,518466,53.696,0.85,1.659,2,1,0,3,6,37,2
FT,7/23/2016,93.6,-0.9691,7.1822,Trevor Story,596115,462382,home_run,hit_into_play_score,,,,,13,Trevor Story homers (26) on a line drive to center field.,R,R,R,COL,ATL,X,null,line_drive,1,0,2016,-0.795216667,1.186133333,-0.895,2.13,null,null,null,0,8,Bot,107.61,20.68,,,489232,,160723_214430,1.094,-135.948,-9.071,-9.117,24.622,-18.992,3.54,1.6,445,110,23.053,92.993,2082,5.531,448315,462382,489232,518692,493596,611177,488818,607054,542255,455976,54.9695,0.983,1.872,2,1,0,3,6,67,2
FF,5/5/2017,96.8,-2.3451,6.0332,Paul Goldschmidt,502671,608566,home_run,hit_into_play_score,,,,,2,Paul Goldschmidt homers (7) on a line drive to left field.   A.  J.   Pollock scores.    David Peralta scores.  ,R,R,R,COL,ARI,X,null,line_drive,0,1,2017,-0.1191,1.3792,-0.2655,3.2118,null,572041,444482,1,3,Top,10.99,83.31,,,572863,,170506_012433,5.6961,-140.5631,-4.9746,-2.6162,26.4465,-13.5717,3.6,1.65,375,110,21.479,95.654,2191,5.363,490529,608566,572863,448602,518934,571448,596115,435622,453568,467827,55.1369,0.947,1.694,2,1,0,3,6,20,2
SL,7/10/2016,88.5,-1.908,6.0773,Carlos Gonzalez,471865,593576,home_run,hit_into_play_score,,,,,9,Carlos Gonzalez homers (19) on a fly ball to right center field.,R,L,R,COL,PHI,X,null,fly_ball,2,2,2016,-0.4807,0.786233333,0.439,1.819,null,null,null,0,8,Bot,202.7,31.87,,,519237,,160710_170026,5.866,-128.657,-5.513,-4.331,20.364,-25.073,3.55,1.64,462,109.7,28.215,87.968,1803,5.361,448196,593576,519237,433217,514917,596748,520471,605125,546318,595963,55.1398,0.978,1.945,2,1,0,3,6,72,5
FT,4/27/2017,94.5,-2.8015,5.9674,Bryce Harper,547180,543475,home_run,hit_into_play_score,,,,,5,Bryce Harper homers (8) on a fly ball to right center field.    Adam Eaton scores.    Trea Turner scores.  ,R,L,R,COL,WSH,X,null,fly_ball,2,2,2017,-1.082,0.694,0.0717,2.2506,null,594809,607208,2,7,Top,195.52,19.77,,,572863,,170427_212909,9.9226,-137.1394,-5.5872,-15.8331,27.37,-22.3579,3.17,1.49,451,109,21.574,95.093,2301,6.56,490429,543475,572863,448602,518934,571448,596115,467827,453568,506560,53.9404,0.959,1.749,2,1,0,3,6,64,6
SL,5/30/2016,81.7,2.327,5.1748,Carlos Gonzalez,471865,571561,home_run,hit_into_play_score,,,,,9,Carlos Gonzalez homers (9) on a fly ball to center field.   DJ LeMahieu scores.,R,L,L,COL,CIN,X,null,fly_ball,0,1,2016,0.107975,-0.2386,0.745,1.58,null,null,518934,0,9,Bot,126.4,10.17,,,571466,,160530_172449,-4.38,-118.877,-0.606,2.474,20.954,-36.523,3.58,1.66,459,108.9,28.283,81.96,2201,6.158,447626,571561,571466,458015,474443,553993,446359,594807,571740,457803,54.3424,0.979,1.943,2,1,0,3,6,85,2
CH,6/20/2017,85.4,1.8721,6.148,David Peralta,444482,543734,home_run,hit_into_play_score,,,,,6,David Peralta homers (7) on a fly ball to right field.  ,R,L,L,COL,ARI,X,null,fly_ball,2,1,2017,0.974,0.7999,0.623,2.1324,null,null,null,0,8,Top,214.1,60.8,,,547172,,170621_025047,-4.7367,-124.0913,-4.7527,10.6477,19.5133,-23.4994,3.3553,1.4371,455,108.9,25.693,84.713,1716,5.446,491156,543734,547172,448602,518934,571448,596115,435622,453568,471865,55.0547,0.984,1.936,2,1,0,3,6,55,4
FF,10/2/2016,97.2,-2.4635,6.1396,Domingo Santana,570267,608032,home_run,hit_into_play_score,,,,,4,Domingo Santana homers (11) on a line drive to left field.   Chris Carter scores.,R,R,R,COL,MIL,X,null,line_drive,1,1,2016,-0.23855,1.293633333,-0.797,2.613,null,null,474892,0,8,Top,27.06,48.66,,,608596,,161002_153104,3.708,-141.376,-6.354,-1.585,29.401,-16.512,4.02,1.82,420,108.9,24.792,97.103,2279,5.93,449290,608032,608596,641958,642162,571448,542436,621311,453568,471865,54.5705,0.982,1.917,2,1,0,3,6,65,3
