pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
CH,8/21/2015,80.8,-1.4409,5.9755,Carlos Gonzalez,471865,112526,home_run,hit_into_play_score,,,,,9,Carlos Gonzalez homers (29) on a line drive to right field.,R,L,R,COL,NYM,X,null,line_drive,1,0,2015,-0.9817,1.019866667,0.374,2.15,null,null,null,2,1,Bot,215.24,47.3,,,518595,,150821_185512,5.36,-117.413,-3.446,-8.625,20.186,-24.042,3.55,1.64,443,110.6,20.574,79.4,1666,5.277,415472,112526,518595,446263,430637,502517,527038,624424,493316,434158,55.2223,0.961,1.75,2,1,0,3,6,8,2
SI,7/21/2015,88.3,-1.8439,6.4653,Shin-Soo Choo,425783,452718,home_run,hit_into_play_score,,,,,9,Shin-Soo Choo homers (12) on a line drive to right center field.,R,L,R,COL,TEX,X,null,line_drive,2,1,2015,-0.835575,1.035633333,0.581,1.951,null,null,null,0,4,Top,209.88,61.55,,,460026,,150721_195748,7.095,-128.262,-6.363,-8.46,26.106,-22.373,3.19,1.47,439,110.5,25.857,86.713,2356,5.438,415057,452718,460026,501647,518934,571448,453064,453211,453568,488681,55.0607,0.984,1.941,2,1,0,3,6,28,4
FT,6/6/2015,91.8,-2.5785,6.5269,Wilin Rosario,501647,516589,home_run,hit_into_play_score,,,,,1,Wilin Rosario homers (4) on a line drive to left field.,R,R,R,COL,MIA,X,null,line_drive,3,1,2015,-0.849491667,1.325166667,-0.715,3.577,null,null,null,2,4,Bot,26.9,73.75,,,425772,,150606_164509,6.32,-133.553,-3.905,-9.305,29.446,-17.967,3.56,1.64,387,110.3,19.213,91.302,2223,6.183,414481,516589,425772,425557,543829,445988,588751,592885,542303,519317,54.3161,0.881,1.407,2,1,0,3,6,40,5
SL,8/20/2015,84.5,1.4716,6.273,Michael Taylor,572191,456071,home_run,hit_into_play_score,,,,,5,Michael Taylor homers (11) on a fly ball to left center field.   Ryan Zimmerman scores.,R,R,L,COL,WSH,X,null,fly_ball,0,0,2015,0.269408333,0.4924,-0.248,2.137,null,null,475582,2,7,Top,81.73,6.1,,,572863,,150820_202815,-4.751,-122.928,-3.795,4.458,20.769,-28.932,3.33,1.42,493,110.1,25.808,84.139,1424,5.798,415463,456071,572863,572019,518614,571448,408314,473724,453568,471865,54.7013,0.984,1.941,2,1,0,3,6,53,1
SL,9/1/2015,82.5,2.4241,6.4097,Kyle Parker,592621,571578,home_run,hit_into_play_score,,,,,8,Kyle Parker homers (3) on a fly ball to center field.,R,R,L,COL,ARI,X,null,fly_ball,0,0,2015,-0.141133333,0.214333333,-0.127,1.782,null,null,null,2,5,Bot,134.01,15.77,,,457454,,150901_143736,-5.622,-119.879,-3.693,-0.108,26.523,-31.956,3.43,1.54,466,109.9,24.672,81.55,2499,6.176,414027,571578,457454,502671,594838,592273,605113,542255,572041,630111,54.323,0.988,1.935,2,1,0,3,6,37,1
CU,6/18/2015,73.3,-1.0085,6.3276,Carlos Gonzalez,471865,543521,home_run,hit_into_play_score,,,,,9,Carlos Gonzalez homers (10) on a line drive to right field.    Charlie Blackmon scores.    DJ LeMahieu scores.,R,L,R,COL,HOU,X,null,line_drive,0,2,2015,0.558875,-0.886466667,0.601,1.594,null,453568,518934,1,1,Bot,232.5,77.31,,,488771,,150618_133239,1.85,-106.713,-0.032,5.629,20.81,-40.71,3.56,1.64,429,109.9,19.544,73.115,2736,6.556,414648,543521,488771,474892,503556,472528,621043,605512,545350,543807,53.9428,0.916,1.555,2,1,0,3,6,8,4
CH,7/24/2015,86.6,-2.0293,5.8822,Carlos Gonzalez,471865,543101,home_run,hit_into_play_score,,,,,8,Carlos Gonzalez homers (15) on a fly ball to right field.,R,L,R,COL,CIN,X,null,fly_ball,0,0,2015,-1.152875,0.8493,0.105,1.811,null,null,null,0,6,Bot,234.44,68.67,,,571466,,150724_202757,7.012,-125.831,-4.55,-11.919,22.665,-24.752,3.56,1.65,438,109.7,24.832,87.204,1593,6.564,415087,543101,571466,458015,408252,453943,474443,407781,571740,457803,53.9354,0.988,1.935,2,1,0,3,6,48,1
FC,9/1/2015,88.2,-1.4952,6.5918,Paul Goldschmidt,502671,452718,home_run,hit_into_play_score,,,,,5,Paul Goldschmidt homers (27) on a line drive to left center field.,R,R,R,COL,ARI,X,null,line_drive,2,0,2015,-0.317875,1.267833333,0.04,2.4,null,null,null,2,1,Top,80.71,24.41,,,572863,,150901_184415,3.84,-128.26,-6.42,-2.26,26.34,-19.68,3.5,1.61,435,109.3,24.93,86.66,2418,5.489,415616,452718,572863,572019,518614,571448,542436,473724,453568,471865,55.0097,0.982,1.917,2,1,0,3,6,3,3
CU,6/8/2015,81.1,-1.8606,6.6499,Troy Tulowitzki,453064,407793,home_run,hit_into_play_score,,,,,2,Troy Tulowitzki homers (7) on a line drive to left field.   Charlie Blackmon scores.    DJ LeMahieu scores.,R,R,R,COL,STL,X,null,line_drive,2,1,2015,1.146158333,0.465166667,0.004,3.036,453568,null,518934,0,1,Bot,31.98,67.65,,,425877,,150608_185336,0.375,-118.005,-2.341,13.401,14.78,-29.403,3.62,1.69,390,109.3,16.093,82.584,2308,6.274,414513,407793,425877,448602,543939,572761,425509,407812,545341,518792,54.2251,0.734,0.939,2,1,0,3,6,6,4
FF,6/2/2015,91.3,-1.7722,6.0897,Joc Pederson,592626,571735,home_run,hit_into_play_score,,,,,8,Joc Pederson homers (16) on a line drive to center field.,R,L,R,COL,LAD,X,null,line_drive,0,0,2015,-0.846708333,1.127366667,-0.08,1.58,null,null,null,1,3,Top,134.74,10.68,,,460026,,150602_191448,5.74,-132.76,-6.97,-9.14,29.84,-20.62,3.46,1.59,472,109.2,27.437,91.559,2143,6.751,414427,571735,460026,572019,518934,571448,453064,488681,453568,471865,53.7476,0.98,1.937,2,1,0,3,6,16,1
